Country,Year,Ecosystem Vulnerability,Food Vulnerability,Health Vulnerability,Infrastructure Vulnerability,Water Vulnerability,Control of Corruption,Governance Effectiveness,Political Stability,Regulatory Quality,Rule of Law,Voice and Accountability,SDG7.1.1,SDG7.1.2,SDG7.2.1,SDG7.3.1
Brazil,2000,0.437979,0.40450399,0.465474133,0.152184352,0.262636428,0.013238784,0.043085087,0.184101626,0.258442432,-0.244871855,0.301593602,93.831,88.776,66.731,3.88
Brazil,2001,0.437708,0.400811623,0.466480551,0.144829898,0.262686274,0.047590548,0.004234871,0.25595095,0.220504753,-0.255741581,0.386915818,95.618,89.49,63.654,3.9
Brazil,2002,0.437436,0.402261717,0.460839857,0.134604661,0.263453171,0.081942312,-0.034615345,0.327800274,0.182567075,-0.266611308,0.472238034,96.318,89.898,65.962,3.89
Brazil,2003,0.437165,0.401815605,0.454934709,0.129041435,0.264987717,0.090239018,0.079587273,0.004213934,0.196701482,-0.367893666,0.442828864,96.678,90.408,70,3.91
Brazil,2004,0.436894,0.394656409,0.453022128,0.132932224,0.266425732,-0.027268711,-0.097499236,-0.275992811,0.037414186,-0.400920123,0.388609469,96.441,90.918,70.577,3.9
Brazil,2005,0.436622,0.392074095,0.446777441,0.126684567,0.267764387,-0.15374814,-0.161735713,-0.263379753,0.036901258,-0.475531459,0.45767951,96.803,91.429,72.308,3.88
Brazil,2006,0.436622,0.3911476,0.443528959,0.12193354,0.268401606,-0.120479897,-0.398304135,-0.294911116,-0.041273385,-0.402620196,0.500075698,97.353,91.939,73.654,3.86
Brazil,2007,0.436622,0.390200555,0.439907358,0.123430104,0.269657669,-0.083988786,-0.299589753,-0.357948095,-0.02283462,-0.409779429,0.537074029,97.937,92.449,75.769,3.85
Brazil,2008,0.436196,0.388866221,0.436266536,0.123213978,0.270839704,0.003437368,-0.15749611,-0.313424706,0.07702741,-0.28804478,0.568985701,98.38,92.959,75.962,3.86
Brazil,2009,0.436353,0.390239641,0.43336704,0.115696976,0.271862692,-0.079985611,-0.158917338,0.163664222,0.127607271,-0.103854693,0.52199918,98.743,93.469,79.615,3.74
Brazil,2010,0.437519,0.387689255,0.430478364,0.120641274,0.272950439,0.043806359,-0.094215512,0.013475911,0.246619865,0.056414437,0.571348906,98.46,93.878,76.538,3.85
