Country,Year,Electricity Generation Per Capita,Financial Access,Rural Population Growth,Income Inequality,Health Expenditure,Renewable Electricity Generation,Policy Stringency,Per Capita Income,Urban Population Growth,Environmental Innovation,Financial Development,Net Energy Import,Low Carbon Trade,Foreign Direct Investment,Industrial Share,Energy Demand
Brazil,2000,1972.847,0.599,-2.267,0.7033,36.59,304405.0000,0.2222,34470.853,2.228,286.03,0.4208,1062.560,0.517,5.0339,23.0066,385.58
Brazil,2001,1830.445,0.632,-0.617,0.7033,37.81,267911.0000,0.2778,33953.559,1.764,346.43,0.4290,964.277,0.786,4.1476,22.6395,361.02
Brazil,2002,1896.134,0.623,-0.526,0.6984,36.41,286153.0000,0.8333,33823.367,1.663,341.86,0.4166,738.254,0.812,3.2536,22.4953,376.85
Brazil,2003,1976.430,0.639,-0.613,0.7009,35.47,305677.0000,0.7500,33819.543,1.579,408.12,0.4465,604.679,0.766,1.8134,23.0838,397.08
Brazil,2004,2078.658,0.679,-0.664,0.6958,35.37,320858.0000,0.5556,34393.719,1.525,489.53,0.4721,756.680,0.676,2.7135,24.3066,418.56
Brazil,2005,2136.797,0.693,-0.690,0.6947,35.88,337550.0000,0.5556,34687.583,1.496,506.09,0.4936,606.253,0.622,1.7339,24.1726,434.76
Brazil,2006,2200.887,0.685,-0.739,0.6923,34.37,349042.0000,0.5556,35277.833,1.450,592.75,0.5246,505.073,0.603,1.7531,23.5440,453.09
Brazil,2007,2307.371,0.695,-0.794,0.6790,33.09,374660.0000,0.2222,36848.472,1.398,647.36,0.5931,609.612,0.631,3.1908,23.1254,476.00
Brazil,2008,2374.160,0.713,-0.848,0.6795,30.88,370393.0000,0.2222,37808.324,1.347,694.47,0.5999,656.845,0.680,2.9906,23.0853,496.89
Brazil,2009,2371.318,0.716,-0.879,0.6765,31.21,392226.0000,0.2222,37533.823,1.305,679.38,0.5965,383.244,0.558,1.8885,21.8786,498.65
